edad,meses_como_cliente,frecuencia_uso,soporte_llamadas,tipo_plan,usa_app_movil,churn
50,42,13,2,Estándar,1,0
38,24,10,0,Básico,1,0
50,17,9,8,Estándar,1,0
32,7,10,0,Premium,1,0
23,20,9,6,Estándar,1,0
39,19,13,6,Premium,1,0
32,28,10,3,Estándar,1,0
52,27,11,4,Premium,0,1
42,54,7,9,Básico,1,1
57,2,3,0,Premium,1,0
30,3,3,8,Básico,0,1
34,9,13,0,Básico,1,1
53,49,12,0,Básico,0,0
60,24,2,9,Estándar,0,0
57,57,1,2,Básico,1,0
43,4,1,7,Básico,1,0
57,14,11,1,Premium,1,0
40,9,2,1,Estándar,1,0
36,49,13,6,Premium,0,0
20,42,14,8,Premium,1,0
23,21,1,6,Estándar,1,1
56,8,10,7,Estándar,1,1
45,48,8,2,Básico,1,1
37,30,7,4,Estándar,0,0
36,14,1,1,Premium,1,0
31,22,6,0,Estándar,1,1
20,58,12,8,Básico,1,1
48,48,7,1,Básico,1,1
53,14,7,9,Básico,1,1
29,25,5,2,Estándar,1,0
47,53,11,0,Estándar,1,0
33,38,5,1,Premium,1,0
46,10,4,6,Estándar,1,0
61,9,2,4,Estándar,1,0
62,14,14,2,Estándar,1,0
56,44,10,3,Premium,0,0
62,46,6,7,Básico,1,0
62,43,4,8,Estándar,0,0
35,41,13,9,Básico,1,0
57,24,6,9,Básico,0,1
62,59,1,9,Estándar,1,1
48,1,12,4,Estándar,0,0
51,32,11,8,Estándar,1,0
51,47,10,8,Premium,1,0
29,4,12,9,Estándar,0,0
25,13,2,5,Estándar,0,0
41,47,12,0,Estándar,0,0
48,37,12,0,Básico,1,0
37,14,14,9,Básico,1,1
57,10,2,0,Estándar,0,0
27,57,3,7,Estándar,1,0
58,52,9,9,Estándar,1,1
60,25,1,7,Premium,1,1
44,43,7,1,Premium,1,0
35,50,6,3,Premium,1,0
28,28,9,1,Estándar,1,0
35,48,11,3,Premium,1,0
45,45,4,5,Estándar,1,0
59,26,9,3,Básico,1,1
41,55,11,4,Básico,0,0
38,40,13,2,Premium,1,0
29,27,10,4,Estándar,1,1
52,59,5,2,Estándar,1,0
54,28,1,4,Estándar,1,0
56,28,13,1,Estándar,1,0
52,56,8,3,Estándar,1,0
54,48,10,3,Premium,1,0
36,44,8,7,Premium,1,0
35,53,5,6,Estándar,0,0
42,52,12,2,Estándar,1,0
42,17,8,5,Estándar,1,0
24,57,10,3,Básico,1,0
48,50,14,3,Básico,1,0
48,15,3,8,Básico,1,0
43,15,2,6,Estándar,1,1
58,51,14,0,Básico,1,0
31,49,4,7,Básico,1,1
23,43,5,6,Básico,0,0
50,9,2,4,Estándar,1,0
24,38,1,6,Estándar,0,0
47,28,11,7,Estándar,1,1
20,32,8,1,Estándar,1,0
56,43,7,9,Premium,1,0
32,42,13,9,Básico,0,1
41,51,6,6,Premium,0,0
61,44,5,7,Estándar,1,0
20,55,2,2,Básico,1,0
20,50,11,1,Básico,1,0
33,47,13,2,Estándar,0,0
21,48,5,4,Básico,1,1
59,14,8,8,Premium,1,1
45,15,10,7,Estándar,0,0
32,38,8,0,Básico,0,0
59,34,10,7,Premium,1,1
30,3,4,0,Básico,0,0
48,57,10,7,Estándar,1,0
34,6,10,8,Básico,1,1
55,45,4,1,Estándar,1,0
41,37,14,8,Básico,1,1
31,48,3,2,Estándar,1,0
50,19,14,6,Básico,1,1
60,22,6,9,Estándar,1,1
55,18,3,3,Básico,1,1
23,42,2,6,Premium,1,1
33,15,8,1,Básico,1,0
44,29,12,8,Premium,0,0
27,9,6,1,Estándar,1,0
44,27,12,6,Estándar,1,0
26,8,7,3,Básico,1,0
31,30,12,8,Básico,1,1
52,57,11,4,Estándar,1,0
35,43,13,3,Estándar,1,0
41,44,1,4,Estándar,1,0
49,10,8,1,Básico,1,0
34,33,14,2,Estándar,1,0
28,34,1,5,Estándar,1,0
57,26,9,8,Premium,1,0
60,57,1,4,Estándar,1,0
31,48,9,6,Estándar,1,1
29,30,8,2,Estándar,1,1
63,56,9,3,Básico,1,0
31,18,11,4,Premium,0,0
48,27,13,4,Básico,0,1
33,13,6,2,Básico,1,1
38,36,9,5,Estándar,0,0
27,40,1,1,Básico,1,0
49,15,1,3,Estándar,1,1
63,21,3,3,Básico,1,0
61,11,11,9,Básico,1,1
37,44,5,9,Básico,1,0
63,35,10,2,Estándar,1,0
58,17,5,5,Premium,0,0
56,39,13,5,Premium,1,0
26,48,7,3,Básico,1,0
28,45,7,0,Básico,1,0
44,54,7,2,Estándar,1,0
30,44,13,5,Estándar,1,0
62,10,8,0,Estándar,1,0
42,14,9,5,Estándar,1,0
53,4,11,3,Básico,1,1
33,37,8,4,Estándar,1,0
59,37,5,6,Premium,0,0
56,46,5,3,Premium,1,0
26,10,5,9,Estándar,1,1
59,22,11,1,Estándar,1,0
57,6,9,0,Premium,1,0
44,3,2,0,Estándar,1,0
47,5,3,6,Estándar,0,0
41,25,4,3,Básico,1,0
27,25,1,5,Estándar,1,0
48,27,9,7,Estándar,1,1
28,29,11,0,Básico,1,1
35,20,4,9,Básico,1,1
33,59,5,8,Básico,1,0
22,55,6,6,Estándar,0,0
45,20,11,8,Básico,1,1
42,56,10,5,Premium,0,0
24,29,9,5,Estándar,1,0
33,8,5,4,Premium,1,0
55,11,2,7,Premium,1,0
32,43,1,8,Estándar,0,0
23,8,13,8,Básico,1,0
36,52,1,1,Básico,1,0
24,39,5,1,Estándar,1,0
64,2,6,4,Premium,1,0
58,13,2,8,Estándar,1,0
56,26,5,7,Básico,0,0
61,34,1,9,Estándar,1,1
56,29,7,0,Estándar,1,0
63,20,9,2,Básico,1,0
62,29,6,4,Estándar,1,0
29,54,14,4,Básico,0,0
44,27,14,7,Estándar,0,0
60,45,4,9,Básico,0,1
33,23,8,6,Básico,1,0
49,10,9,8,Premium,0,0
43,50,4,5,Estándar,1,0
41,25,12,1,Estándar,1,1
55,40,3,3,Básico,1,0
57,2,12,4,Básico,1,0
40,29,8,8,Estándar,1,1
49,11,9,7,Básico,1,0
44,54,4,0,Estándar,1,0
28,44,1,1,Premium,0,0
33,47,13,9,Básico,1,1
60,1,5,3,Básico,1,0
54,23,9,8,Básico,0,0
46,6,1,9,Premium,0,0
54,17,2,0,Premium,1,0
34,21,11,7,Básico,0,0
45,36,13,5,Básico,0,1
44,7,14,2,Básico,0,0
55,40,4,8,Básico,0,1
47,20,5,6,Básico,0,1
53,48,1,9,Estándar,0,0
30,21,3,1,Estándar,1,0
40,55,14,8,Básico,1,0
63,37,1,0,Estándar,1,1
43,29,6,6,Estándar,0,0
32,9,11,8,Premium,1,1
61,56,4,0,Básico,0,0
61,29,3,6,Básico,0,0
40,7,1,5,Estándar,1,0
21,43,12,1,Básico,0,1
51,40,2,0,Premium,1,0
53,39,4,0,Básico,0,0
42,59,3,6,Premium,1,1
64,44,10,6,Básico,1,1
56,29,3,8,Básico,1,1
