zona,tipo_negocio,monto_credito,cuotas_pagadas,mujer_emprendedora,hijos,default
Selva,Servicios,4027,10,0,3,0
Costa,Comercio,557,6,1,4,0
Costa,Agrícola,4925,1,1,4,0
Sierra,Ganadero,3901,8,0,4,0
Sierra,Servicios,2362,6,0,0,0
Selva,Ganadero,2072,0,1,3,0
Sierra,Comercio,3053,0,1,2,0
Sierra,Comercio,3827,9,1,3,0
Selva,Agrícola,4714,0,1,1,0
Sierra,Agrícola,2682,6,1,0,0
Costa,Servicios,3628,4,1,3,0
Sierra,Ganadero,3360,9,1,4,0
Costa,Agrícola,2183,8,0,4,0
Sierra,Servicios,2870,2,1,1,0
Selva,Agrícola,562,4,1,0,0
Costa,Agrícola,3043,7,1,1,0
Selva,Comercio,4510,7,1,3,0
Costa,Ganadero,2606,3,0,4,0
Costa,Ganadero,535,3,0,4,0
Costa,Servicios,3812,10,1,3,0
Selva,Agrícola,564,2,1,4,1
Sierra,Comercio,4216,10,1,4,0
Selva,Comercio,2720,10,0,1,0
Costa,Comercio,1865,10,1,1,0
Sierra,Comercio,1023,6,1,0,0
Selva,Servicios,4457,6,1,3,0
Sierra,Servicios,3591,1,0,3,0
Selva,Comercio,578,2,0,1,0
Costa,Servicios,1837,6,0,1,0
Selva,Agrícola,1029,9,1,2,0
Sierra,Ganadero,3440,7,1,3,0
Selva,Comercio,4993,4,1,0,0
Selva,Comercio,3813,7,1,3,0
Sierra,Comercio,3766,8,1,4,0
Costa,Ganadero,3680,8,1,4,0
Selva,Comercio,749,9,0,3,0
Selva,Comercio,3037,9,1,0,0
Sierra,Comercio,913,3,1,1,0
Sierra,Ganadero,2391,4,1,4,0
Costa,Servicios,1478,0,0,1,1
Sierra,Comercio,4947,0,1,1,0
Selva,Servicios,703,9,1,3,0
Selva,Ganadero,3469,8,1,3,0
Costa,Servicios,2464,0,0,4,0
Costa,Ganadero,3353,6,0,3,0
Selva,Ganadero,2342,7,0,0,1
Sierra,Comercio,1627,4,0,4,0
Selva,Agrícola,2042,5,0,2,0
Costa,Agrícola,2300,11,1,2,0
Selva,Ganadero,3812,10,1,1,0
Sierra,Comercio,1760,9,1,3,0
Costa,Ganadero,2506,4,0,1,0
Selva,Agrícola,4045,4,1,3,0
Sierra,Agrícola,1124,0,0,3,0
Selva,Comercio,4114,9,1,0,0
Selva,Agrícola,4207,2,1,4,0
Costa,Servicios,1735,9,1,0,0
Costa,Ganadero,1753,8,1,3,0
Selva,Servicios,4881,11,1,4,0
Sierra,Comercio,3388,5,1,4,0
Selva,Comercio,1572,7,0,1,0
Costa,Agrícola,2098,11,1,4,0
Sierra,Servicios,3318,4,1,1,0
Selva,Servicios,676,6,0,1,0
