duracion_video_seg,plataforma,segmento,likes,comentarios,conversion
46,Facebook,Adulto,524,91,0
90,Facebook,Senior,36,21,0
55,Facebook,Senior,588,198,0
77,Facebook,Senior,234,182,0
64,Facebook,Joven,970,161,0
52,Instagram,Senior,658,176,0
38,Facebook,Joven,200,184,0
21,Instagram,Senior,293,74,0
67,Instagram,Joven,980,34,0
59,YouTube,Joven,985,167,0
33,Facebook,Joven,992,164,0
49,Facebook,Joven,485,116,0
35,Instagram,Joven,355,82,0
52,YouTube,Joven,56,197,0
45,Instagram,Joven,434,174,0
39,YouTube,Senior,542,182,1
92,YouTube,Adulto,804,189,1
108,Instagram,Adulto,249,33,0
30,Instagram,Joven,235,24,0
35,Instagram,Joven,187,159,0
16,Instagram,Joven,440,169,0
50,Instagram,Adulto,374,125,0
23,Instagram,Adulto,334,77,0
44,YouTube,Senior,465,139,0
64,Instagram,Senior,403,168,0
51,Instagram,Adulto,691,140,0
79,YouTube,Joven,548,24,1
70,Facebook,Senior,645,2,1
23,Facebook,Adulto,234,83,0
99,Instagram,Adulto,595,45,1
17,Facebook,Joven,142,66,0
80,Facebook,Adulto,768,38,1
21,YouTube,Senior,984,171,0
20,Instagram,Senior,111,57,0
20,YouTube,Senior,412,167,1
63,YouTube,Adulto,547,49,1
55,Facebook,Joven,329,61,0
75,Instagram,Adulto,559,180,0
79,Instagram,Senior,107,75,0
59,YouTube,Senior,165,48,0
61,YouTube,Joven,454,179,0
59,Facebook,Senior,440,177,0
94,Instagram,Adulto,252,50,0
68,YouTube,Senior,857,141,1
17,Facebook,Joven,980,1,0
61,Instagram,Senior,181,13,0
64,Instagram,Joven,950,27,1
26,Facebook,Adulto,88,8,0
14,Facebook,Senior,456,161,0
72,Instagram,Senior,251,191,0
45,YouTube,Senior,153,65,0
34,Facebook,Senior,331,151,0
87,Instagram,Senior,438,128,0
53,Facebook,Senior,240,111,0
67,Facebook,Joven,581,181,0
11,Facebook,Senior,90,135,0
90,YouTube,Joven,392,192,1
46,YouTube,Adulto,360,153,0
85,YouTube,Adulto,511,8,0
98,Facebook,Joven,481,182,0
69,Facebook,Adulto,481,121,0
54,Facebook,Senior,340,73,0
100,Facebook,Senior,567,25,0
115,Instagram,Senior,850,83,0
92,Instagram,Adulto,477,164,0
91,Instagram,Joven,162,3,0
10,Facebook,Senior,472,53,0
21,Instagram,Adulto,214,152,0
41,Facebook,Senior,9,73,0
47,Instagram,Joven,499,11,0
115,YouTube,Adulto,157,188,0
91,YouTube,Adulto,494,156,0
56,YouTube,Adulto,931,47,0
96,Instagram,Senior,16,163,0
