edad,ingreso_mensual,hist_crediticia,nivel_educativo,tiempo_laboral_meses,cuota_vs_ingreso,default
30,3926,Buena,Secundaria,53,0.32,0
59,6074,Buena,Secundaria,107,0.13,0
62,4739,Buena,Secundaria,22,0.25,0
34,2666,Buena,Universitario,68,0.49,0
53,5149,Mala,Universitario,21,0.11,0
43,2744,Regular,Tecnico,206,0.26,0
37,4919,Buena,Universitario,113,0.45,1
61,1286,Buena,Tecnico,8,0.47,0
50,1617,Buena,Universitario,237,0.27,0
52,3324,Buena,Universitario,126,0.23,0
33,7647,Buena,Secundaria,229,0.3,0
42,4560,Buena,Tecnico,158,0.11,0
24,2361,Buena,Tecnico,231,0.11,0
43,6094,Buena,Secundaria,162,0.11,0
30,6495,Buena,Tecnico,79,0.56,0
52,1577,Regular,Tecnico,19,0.5,0
30,6395,Buena,Secundaria,157,0.47,0
23,4538,Regular,Secundaria,134,0.16,0
39,6631,Buena,Tecnico,171,0.3,0
43,5936,Buena,Secundaria,158,0.33,0
40,1791,Regular,Tecnico,100,0.56,1
43,5207,Regular,Universitario,235,0.42,0
35,1619,Buena,Secundaria,66,0.6,0
62,4838,Regular,Secundaria,90,0.58,0
42,2750,Mala,Secundaria,90,0.5,0
49,7456,Buena,Tecnico,94,0.14,0
52,4159,Buena,Universitario,51,0.52,0
47,4987,Buena,Secundaria,71,0.14,0
31,6247,Regular,Universitario,67,0.49,0
62,7308,Mala,Tecnico,46,0.21,0
23,3782,Regular,Tecnico,221,0.28,0
35,5213,Buena,Secundaria,216,0.27,0
40,7514,Buena,Tecnico,74,0.21,0
32,4592,Mala,Tecnico,123,0.13,0
33,3857,Regular,Universitario,56,0.41,0
29,4351,Regular,Tecnico,197,0.38,0
63,3680,Buena,Universitario,112,0.29,0
47,1672,Regular,Tecnico,59,0.22,0
61,6387,Buena,Universitario,26,0.34,0
21,5994,Regular,Universitario,116,0.33,0
58,6021,Regular,Tecnico,73,0.34,0
30,4104,Regular,Tecnico,106,0.18,0
30,6908,Buena,Tecnico,95,0.44,0
45,3495,Mala,Secundaria,193,0.47,1
49,4284,Buena,Tecnico,46,0.51,0
42,2679,Mala,Tecnico,24,0.37,0
47,4355,Buena,Secundaria,93,0.2,0
25,3969,Buena,Secundaria,135,0.58,0
24,3682,Buena,Secundaria,40,0.55,0
40,2754,Regular,Secundaria,176,0.53,0
38,6781,Mala,Tecnico,38,0.44,0
60,1217,Buena,Tecnico,100,0.54,0
40,1971,Regular,Universitario,219,0.38,0
22,3088,Buena,Universitario,234,0.53,0
37,7380,Mala,Secundaria,163,0.11,0
51,3222,Buena,Tecnico,38,0.45,0
26,5538,Regular,Secundaria,119,0.58,0
30,4101,Buena,Universitario,41,0.53,1
48,3788,Buena,Tecnico,171,0.48,0
29,5433,Buena,Universitario,84,0.35,0
63,2845,Buena,Secundaria,140,0.3,0
27,3304,Buena,Universitario,36,0.56,0
