edad,segmento,saldo_total,numero_productos,visitas_app_mes,usa_web,usa_tarjeta_credito,reclamos_6m,satisfaccion_encuesta,tasa_credito_personal,rango_ingresos,region,cerrara_cuenta
48,Preferente,43791.8,5,11,0,1,1,4.2,36.82,Medio,Sierra,0
36,Estándar,17940.87,1,7,0,1,0,2.2,39.78,Muy Alto,Selva,0
48,Estándar,9308.09,4,3,0,1,1,1.0,28.36,Medio,Sierra,1
30,Estándar,709.76,5,5,1,1,0,5.0,45.73,Bajo,Selva,0
74,Preferente,20471.46,1,4,0,0,1,3.1,39.19,Medio,Sierra,0
21,Estándar,15613.91,1,9,0,0,2,1.2,33.96,Bajo,Costa,0
37,Premium,34962.63,4,6,0,0,0,3.6,45.23,Medio,Costa,0
30,Estándar,43665.24,2,10,1,1,1,1.7,44.72,Alto,Sierra,0
50,Preferente,27531.47,1,14,1,1,1,4.1,35.62,Bajo,Costa,0
40,Estándar,23910.59,4,6,0,0,1,4.7,35.51,Bajo,Costa,0
74,Estándar,29940.33,1,5,0,1,1,4.3,43.47,Muy Alto,Sierra,0
55,Estándar,30349.49,4,5,1,1,0,1.1,37.31,Bajo,Costa,0
28,Preferente,34019.71,5,4,1,1,1,4.1,31.7,Alto,Selva,0
32,Preferente,40979.93,4,7,1,1,0,3.0,42.44,Medio,Costa,0
51,Premium,15015.73,1,3,1,0,1,3.5,52.84,Medio,Costa,0
58,Estándar,10684.17,4,5,0,1,1,3.0,31.02,Bajo,Costa,0
55,Estándar,8582.91,3,8,1,0,0,2.5,28.66,Muy Alto,Selva,0
41,Estándar,38038.49,4,3,1,1,0,4.2,36.18,Medio,Sierra,0
55,Estándar,30375.21,4,7,0,1,1,1.8,31.13,Alto,Sierra,0
65,Estándar,52160.08,3,6,1,1,2,3.0,29.04,Alto,Costa,0
38,Estándar,16528.88,2,4,1,1,1,2.6,34.27,Medio,Sierra,0
34,Preferente,13592.07,2,3,0,1,0,1.0,37.85,Medio,Sierra,0
18,Preferente,29578.47,4,7,1,1,0,2.5,46.21,Medio,Selva,0
71,Preferente,32286.02,5,13,1,0,0,4.2,37.7,Medio,Costa,0
21,Premium,30707.72,2,6,0,0,1,2.6,37.47,Medio,Sierra,0
54,Estándar,31680.96,4,4,1,1,0,2.6,33.19,Muy Alto,Sierra,0
43,Preferente,9200.1,3,8,1,0,0,2.4,39.72,Bajo,Costa,1
35,Preferente,28687.8,1,9,1,1,0,3.6,41.59,Medio,Costa,0
34,Estándar,22150.03,4,7,0,1,1,3.6,28.99,Medio,Selva,1
73,Preferente,43493.27,1,7,1,1,0,3.3,32.95,Medio,Costa,0
29,Preferente,0.0,2,8,1,0,0,3.0,33.65,Muy Alto,Selva,0
63,Premium,8593.33,2,3,1,1,1,3.0,39.19,Bajo,Selva,0
18,Preferente,37483.07,1,4,1,0,0,2.7,23.15,Bajo,Sierra,0
46,Preferente,27095.51,5,9,0,1,0,4.4,44.83,Medio,Selva,0
51,Premium,45577.15,1,4,1,0,0,1.8,36.99,Medio,Selva,0
27,Estándar,16383.99,5,7,0,1,0,1.2,30.47,Alto,Selva,0
45,Preferente,32569.87,2,8,1,1,0,2.3,33.4,Medio,Costa,0
31,Premium,1498.5,1,9,1,0,0,4.3,39.52,Alto,Costa,0
69,Estándar,17392.5,5,9,1,0,0,4.9,40.37,Muy Alto,Costa,0
44,Preferente,43698.82,3,4,1,0,1,1.9,49.52,Alto,Selva,0
59,Preferente,43821.78,1,6,1,1,0,4.5,39.74,Medio,Costa,0
60,Preferente,18055.79,5,6,1,0,0,2.4,26.14,Bajo,Costa,0
54,Preferente,4336.03,3,6,0,1,0,4.9,39.94,Alto,Selva,0
60,Estándar,23137.72,3,3,1,1,2,2.6,29.57,Bajo,Costa,0
60,Estándar,27298.35,1,5,1,1,1,3.5,19.75,Muy Alto,Sierra,0
33,Preferente,42875.79,3,5,1,0,1,1.5,24.64,Alto,Costa,0
71,Estándar,38501.89,4,4,0,1,2,1.1,37.39,Medio,Costa,0
55,Estándar,0.0,1,2,1,1,0,3.4,37.96,Bajo,Costa,1
60,Preferente,18017.06,1,8,1,1,1,2.5,39.87,Medio,Costa,0
46,Estándar,35916.27,4,6,0,1,0,2.7,35.12,Medio,Selva,1
49,Estándar,13669.39,2,7,1,1,0,3.9,36.53,Medio,Costa,0
70,Premium,21687.44,1,11,0,1,2,2.8,33.71,Medio,Costa,0
49,Estándar,28225.87,1,5,1,0,2,1.2,33.7,Medio,Costa,0
27,Preferente,42083.79,3,8,0,0,0,1.9,17.26,Bajo,Sierra,1
23,Estándar,19047.46,1,5,1,1,0,4.4,36.66,Alto,Costa,0
39,Preferente,43334.46,4,3,1,1,0,2.0,40.54,Muy Alto,Sierra,0
70,Estándar,14271.24,3,3,1,1,3,3.6,40.64,Bajo,Costa,0
46,Preferente,41157.53,5,10,1,1,0,4.0,39.77,Medio,Costa,0
35,Estándar,18429.04,3,5,1,0,0,4.7,47.33,Bajo,Costa,0
73,Estándar,15309.81,2,3,0,0,0,4.5,33.06,Bajo,Sierra,1
55,Preferente,25840.7,4,2,0,1,0,3.1,45.47,Medio,Sierra,0
70,Estándar,25389.16,4,8,1,1,0,3.5,44.75,Medio,Costa,1
74,Estándar,19742.07,5,7,0,0,1,1.4,29.61,Medio,Sierra,0
25,Preferente,16951.96,1,4,0,1,0,2.5,47.67,Bajo,Selva,0
56,Preferente,12940.37,1,2,1,0,0,4.4,33.6,Alto,Selva,0
58,Estándar,29555.83,2,10,0,1,0,2.0,48.29,Medio,Selva,1
63,Estándar,16027.94,3,5,1,1,0,3.1,43.91,Medio,Costa,0
42,Estándar,21924.65,1,7,0,0,0,5.0,46.38,Medio,Costa,0
33,Estándar,20226.86,4,4,1,0,0,2.7,50.86,Medio,Costa,0
68,Premium,45900.6,2,4,1,0,0,1.9,31.27,Bajo,Costa,0
26,Estándar,31230.79,5,5,1,1,0,1.3,25.65,Medio,Sierra,0
72,Estándar,19727.42,5,6,1,1,1,2.8,36.44,Medio,Sierra,0
33,Estándar,6136.15,3,4,1,1,0,3.8,36.41,Muy Alto,Costa,0
43,Estándar,24179.7,2,13,1,0,0,3.5,29.12,Medio,Costa,0
57,Estándar,11505.25,2,3,1,1,0,4.1,39.94,Alto,Sierra,0
39,Preferente,16084.64,4,4,0,1,2,1.4,30.54,Medio,Sierra,0
36,Estándar,24368.21,1,6,1,1,0,1.4,23.13,Medio,Costa,0
27,Estándar,24691.21,5,8,1,1,1,1.2,36.95,Medio,Selva,0
50,Estándar,11943.68,5,6,1,1,1,4.5,28.83,Bajo,Sierra,1
52,Estándar,38072.7,1,6,1,1,0,1.6,31.36,Muy Alto,Selva,0
54,Preferente,0.0,3,8,1,0,2,1.5,32.15,Bajo,Selva,1
50,Estándar,33935.86,4,7,0,0,0,4.0,31.79,Medio,Sierra,0
52,Premium,33571.24,1,9,1,1,0,1.6,32.53,Bajo,Selva,1
34,Preferente,44851.1,2,9,1,1,0,3.4,33.52,Alto,Costa,0
67,Preferente,29084.82,3,6,0,1,0,2.5,25.86,Alto,Sierra,0
33,Estándar,16521.01,5,11,0,1,1,5.0,40.08,Medio,Sierra,0
